Handle,Metafield: shopify--discovery--product_recommendation.complementary_products [list.product_reference]
estela-gold-premium-rhodium-plated-alloy-bracelet-with-high-quality-simulated-diamonds,"estela-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,estela-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,abla-blue-floral-ring-in-925-silver-with-marquise-and-pear-cut-high-quality-simulated-diamonds,aya-shine-dragon-design-multicolor-bangle-in-925-silver-with-high-quality-simulated-diamonds"
estela-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,"estela-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,estela-gold-premium-rhodium-plated-alloy-bracelet-with-high-quality-simulated-diamonds,abla-blue-floral-ring-in-925-silver-with-marquise-and-pear-cut-high-quality-simulated-diamonds,aya-shine-dragon-design-multicolor-bangle-in-925-silver-with-high-quality-simulated-diamonds"
estela-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,"estela-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,estela-gold-premium-rhodium-plated-alloy-bracelet-with-high-quality-simulated-diamonds,abla-blue-floral-ring-in-925-silver-with-marquise-and-pear-cut-high-quality-simulated-diamonds,aya-shine-dragon-design-multicolor-bangle-in-925-silver-with-high-quality-simulated-diamonds"
carla-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,"carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,karah-rose-gold-bracelet-with-certified-high-quality-premium-simulated-diamonds-in-925-sterling-silver"
carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,"carla-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,karah-rose-gold-bracelet-with-certified-high-quality-premium-simulated-diamonds-in-925-sterling-silver"
carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,"carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,karah-rose-gold-bracelet-with-certified-high-quality-premium-simulated-diamonds-in-925-sterling-silver"
carla-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,"carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,carla-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,karah-rose-gold-bracelet-with-certified-high-quality-premium-simulated-diamonds-in-925-sterling-silver"
althea-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,"althea-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,althea-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,althea-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,karah-rose-gold-bracelet-with-certified-high-quality-premium-simulated-diamonds-in-925-sterling-silver"
althea-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,"althea-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,althea-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,althea-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,karah-rose-gold-bracelet-with-certified-high-quality-premium-simulated-diamonds-in-925-sterling-silver"
althea-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,"althea-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,althea-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,althea-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,karah-rose-gold-bracelet-with-certified-high-quality-premium-simulated-diamonds-in-925-sterling-silver"
