Handle,Title,Family,Type,Metal,Colors,Family partner?,Picks
estela-gold-premium-rhodium-plated-alloy-bracelet-with-high-quality-simulated-diamonds,Estela Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds,estela,bracelet,white,clear,yes,Estela Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Estela Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (3260) | Aya Shine Dragon Design Multicolor Bangle in 925 Silver with High-Quality Simulated Diamonds (3220)
estela-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Estela Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,estela,necklace,white,clear,yes,Estela Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Estela Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds (15300*) | Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (3260) | Aya Shine Dragon Design Multicolor Bangle in 925 Silver with High-Quality Simulated Diamonds (3220)
estela-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Estela Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,estela,earrings,white,clear,yes,Estela Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Estela Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds (15300*) | Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (3260) | Aya Shine Dragon Design Multicolor Bangle in 925 Silver with High-Quality Simulated Diamonds (3220)
carla-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds,carla,bangle,rose,clear,yes,Carla Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Carla Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Carla Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,carla,earrings,rose,clear,yes,Carla Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Carla Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Carla Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
carla-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds,carla,ring,rose,clear,yes,Carla Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Carla Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Carla Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
carla-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,carla,necklace,rose,clear,yes,Carla Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Carla Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Carla Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
althea-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds,althea,bangle,rose,clear,yes,Althea Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Althea Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Althea Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
althea-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,althea,necklace,rose,clear,yes,Althea Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Althea Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
althea-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,althea,earrings,rose,clear,yes,Althea Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Althea Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
althea-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,Althea Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds,althea,ring,rose,clear,yes,Althea Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Althea Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
stacey-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Stacey Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,stacey,earrings,rose,clear,yes,Stacey Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds (15300*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (3220)
